分野名,科目,系統,今週の重点,回答数,正答数,正答率,判定,次の行動
基礎理論,科目A,テクノロジ,FALSE,0,0,,データ不足,
アルゴリズムとプログラミング,科目A,テクノロジ,FALSE,0,0,,データ不足,
コンピュータ構成要素,科目A,テクノロジ,FALSE,0,0,,データ不足,
システム構成要素,科目A,テクノロジ,FALSE,0,0,,データ不足,
ソフトウェア,科目A,テクノロジ,FALSE,0,0,,データ不足,
ハードウェア,科目A,テクノロジ,FALSE,0,0,,データ不足,
ユーザーインタフェース,科目A,テクノロジ,FALSE,0,0,,データ不足,
情報メディア,科目A,テクノロジ,FALSE,0,0,,データ不足,
データベース,科目A,テクノロジ,FALSE,0,0,,データ不足,
ネットワーク,科目A,テクノロジ,TRUE,83,62,74.7,要強化,20問演習して誤答を確認
セキュリティ,科目A,テクノロジ,FALSE,0,0,,データ不足,
システム開発技術,科目A,テクノロジ,FALSE,0,0,,データ不足,
ソフトウェア開発管理技術,科目A,テクノロジ,FALSE,0,0,,データ不足,
プロジェクトマネジメント,科目A,マネジメント,FALSE,0,0,,データ不足,
サービスマネジメント,科目A,マネジメント,FALSE,0,0,,データ不足,
システム監査,科目A,マネジメント,FALSE,0,0,,データ不足,
システム戦略,科目A,ストラテジ,FALSE,0,0,,データ不足,
システム企画,科目A,ストラテジ,FALSE,0,0,,データ不足,
経営戦略マネジメント,科目A,ストラテジ,FALSE,0,0,,データ不足,
技術戦略マネジメント,科目A,ストラテジ,FALSE,0,0,,データ不足,
ビジネスインダストリ,科目A,ストラテジ,FALSE,0,0,,データ不足,
企業活動,科目A,ストラテジ,FALSE,0,0,,データ不足,
法務,科目A,ストラテジ,FALSE,0,0,,データ不足,
プログラムの基本要素,科目B,科目B,FALSE,0,0,,データ不足,
データ構造及びアルゴリズム,科目B,科目B,FALSE,0,0,,データ不足,
プログラミングの諸分野への適用,科目B,科目B,FALSE,0,0,,データ不足,
情報セキュリティ,科目B,科目B,FALSE,0,0,,データ不足,
